,0,1,2,3,4,5,6
0,init_std: -1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.5008,0.5409,0.5238,0.3579,0.1388,0.0225
2,learning_rate: 0.03,0.5532,0.5424,0.5401,0.54,0.4099,0.1551
3,learning_rate: 0.01,0.5778,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.01,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.5587,0.5437,0.535,0.3613,0.147,0.0237
2,learning_rate: 0.03,0.59,0.55,0.5343,0.5287,0.4075,0.1586
3,learning_rate: 0.01,0.5915,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.03,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.5782,0.5401,0.5211,0.3676,0.1474,0.0233
2,learning_rate: 0.03,0.5828,0.5401,0.5324,0.5184,0.4206,0.1445
3,learning_rate: 0.01,0.5772,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.1,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.5441,0.5166,0.5265,0.3702,0.1388,0.0199
2,learning_rate: 0.03,0.5341,0.5145,0.5235,0.5173,0.405,0.1578
3,learning_rate: 0.01,0.4599,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.3,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.4631,0.5068,0.5135,0.3725,0.1585,0.0251
2,learning_rate: 0.03,0.4032,0.4647,0.5118,0.5178,0.4041,0.1709
3,learning_rate: 0.01,0.3245,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.1965,0.4929,0.4922,0.3225,0.1279,0.0187
2,learning_rate: 0.03,0.2175,0.343,0.4794,0.5031,0.3892,0.1575
3,learning_rate: 0.01,0.2711,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
