,0,1,2,3,4,5,6
0,init_std: -1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.5512,0.5276,0.5219,0.4083,0.2183,0.0339
2,learning_rate: 0.03,0.5984,0.6147,0.5402,0.5292,0.4663,0.22
3,learning_rate: 0.01,0.5974,0.5964,0.618,0.5308,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.01,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.5751,0.5365,0.5285,0.4164,0.2117,0.0211
2,learning_rate: 0.03,0.6023,0.6146,0.5416,0.5267,0.446,0.2184
3,learning_rate: 0.01,0.6036,0.6064,0.616,0.5363,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.03,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.5765,0.5339,0.5383,0.4366,0.2004,0.0371
2,learning_rate: 0.03,0.6021,0.6123,0.5356,0.5268,0.448,0.2111
3,learning_rate: 0.01,0.5908,0.592,0.6193,0.5286,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.1,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.5506,0.5307,0.5164,0.4139,0.2004,0.0428
2,learning_rate: 0.03,0.5423,0.5925,0.5176,0.5246,0.4554,0.2165
3,learning_rate: 0.01,0.4769,0.4855,0.5641,0.5168,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.3,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.4581,0.4996,0.5133,0.4075,0.2086,0.0366
2,learning_rate: 0.03,0.4128,0.5266,0.5045,0.523,0.4634,0.214
3,learning_rate: 0.01,0.3442,0.3581,0.5208,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.2305,0.4835,0.5099,0.3653,0.1882,0.0342
2,learning_rate: 0.03,0.2912,0.3802,0.4682,0.513,0.438,0.2092
3,learning_rate: 0.01,0.3137,0.327,0.3944,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
