,0,1,2,3,4,5,6
0,init_std: -1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8383,0.8337,N/A,0.7862,N/A,0.343
2,learning_rate: 0.03,0.8196,0.8311,N/A,0.8305,N/A,0.6469
3,learning_rate: 0.01,0.814,0.8239,N/A,0.8337,N/A,0.7789
4,learning_rate: 0.003,0.7669,0.7735,N/A,0.8421,N/A,0.8457
5,learning_rate: 0.001,0.6775,0.6884,N/A,0.7138,N/A,0.8318
0,init_std: 0.01,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.03,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.1,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.3,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,N/A,N/A,N/A,N/A,N/A,N/A
2,learning_rate: 0.03,N/A,N/A,N/A,N/A,N/A,N/A
3,learning_rate: 0.01,N/A,N/A,N/A,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
