,0,1,2,3,4,5,6
0,init_std: -1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8024,0.8354,0.8345,0.7539,0.5892,0.235
2,learning_rate: 0.03,0.8384,0.8446,0.8533,0.8333,0.7891,0.5959
3,learning_rate: 0.01,0.8409,0.8509,0.8445,0.8394,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.01,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8657,0.8429,0.8347,0.7551,0.5623,0.293
2,learning_rate: 0.03,0.8758,0.855,0.8521,0.8364,0.7812,0.6281
3,learning_rate: 0.01,0.8667,0.8742,0.8773,0.8404,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.03,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8621,0.8401,0.8318,0.7632,0.5936,0.3186
2,learning_rate: 0.03,0.864,0.8535,0.8414,0.8287,0.7843,0.5961
3,learning_rate: 0.01,0.8573,0.8623,0.8778,0.838,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.1,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8431,0.8395,0.8325,0.7609,0.584,0.2912
2,learning_rate: 0.03,0.8265,0.8347,0.8397,0.8391,0.7869,0.621
3,learning_rate: 0.01,0.7814,0.7938,0.8568,0.8396,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 0.3,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.8023,0.8343,0.8303,0.7662,0.5969,0.3797
2,learning_rate: 0.03,0.7443,0.8022,0.8312,0.8278,0.7874,0.6027
3,learning_rate: 0.01,0.6764,0.7154,0.7943,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
0,init_std: 1.0,weight_decay: 0.0,weight_decay: 0.0001,weight_decay: 0.0003,weight_decay: 0.001,weight_decay: 0.003,weight_decay: 0.01
1,learning_rate: 0.1,0.713,0.8297,0.8268,0.7544,0.6039,0.2764
2,learning_rate: 0.03,0.6528,0.7497,0.824,0.8274,0.7782,0.6088
3,learning_rate: 0.01,0.6091,0.6317,0.7168,N/A,N/A,N/A
4,learning_rate: 0.003,N/A,N/A,N/A,N/A,N/A,N/A
5,learning_rate: 0.001,N/A,N/A,N/A,N/A,N/A,N/A
